"Sample","SCORE"
"MIP.S29535.clean.bam","0"
"MIP.S29539.clean.bam","1"
"MIP.S29548.clean.bam","0"
"MIP.S29565.clean.bam","0"
"MIP.S29573.clean.bam","0"
"MIP.S29600.clean.bam","0"
"MIP.S29607.clean.bam","0"
"MIP.S29613.clean.bam","0"
"MIP.S29650.clean.bam","0"
"MIP.S29656.clean.bam","0"
"MIP.S29667.clean.bam","1"
"MIP.S29670.clean.bam","0"
"MIP.S29671.clean.bam","1"
"MIP.S29685.clean.bam","1"
"MIP.S29686.clean.bam","1"
"MIP.S29691.clean.bam","1"
"MIP.S29703.clean.bam","1"
"MIP.S29712.clean.bam","0"
"MIP.S29750.clean.bam","0"
"MIP.S29753.clean.bam","0"
"MIP.S29764.clean.bam","0"
"MIP.S29776.clean.bam","0"
"MIP.S29785.clean.bam","1"
"MIP.S29800.clean.bam","0"
"MIP.S29811.clean.bam","0"
"MIP.S29824.clean.bam","0"
"MIP.S29826.clean.bam","1"
"MIP.S29827.clean.bam","0"
"MIP.S29828.clean.bam","1"
"MIP.S29835.clean.bam","0"
"MIP.S29840.clean.bam","1"
"MIP.S29847.clean.bam","0"
"MIP.S29850.clean.bam","0"
"MIP.S29851.clean.bam","1"
"MIP.S29857.clean.bam","0"
"MIP.S29858.clean.bam","0"
"MIP.S29862.clean.bam","0"
"MIP.S29869.clean.bam","1"
"MIP.S29874.clean.bam","0"
"MIP.S29884.clean.bam","1"
"MIP.S29886.clean.bam","0"
"MIP.S29891.clean.bam","0"
"MIP.S29894.clean.bam","0"
"MIP.S29897.clean.bam","0"
"MIP.S29905.clean.bam","0"
"MIP.S29913.clean.bam","1"
"MIP.S29920.clean.bam","1"
"MIP.S29922.clean.bam","1"
"MIP.S29931.clean.bam","0"
"MIP.S29935.clean.bam","0"
"MIP.S29940.clean.bam","0"
"MIP.S29942.clean.bam","0"
"MIP.S29945.clean.bam","1"
"MIP.S29946.clean.bam","0"
"MIP.S29947.clean.bam","0"
"MIP.S29950.clean.bam","1"
"MIP.S29955.clean.bam","1"
"MIP.S29957.clean.bam","0"
"MIP.S29964.clean.bam","0"
"MIP.S29969.clean.bam","0"
"MIP.S29972.clean.bam","0"
"MIP.S29974.clean.bam","0"
"MIP.S29981.clean.bam","0"
"MIP.S29986.clean.bam","0"
"MIP.S29990.clean.bam","0"
"MIP.S29998.clean.bam","0"
"MIP.S30001.clean.bam","0"
"MIP.S30925.clean.bam","1"
"MIP.S30932.clean.bam","0"
"MIP.S30956.clean.bam","0"
"MIP.S31002.clean.bam","0"
"MIP.S31005.clean.bam","0"
"MIP.S31006.clean.bam","0"
"MIP.S31014.clean.bam","0"
"MIP.S31021.clean.bam","1"
"MIP.S31026.clean.bam","0"
"MIP.S31030.clean.bam","0"
"MIP.S31032.clean.bam","1"
"MIP.S31041.clean.bam","1"
"MIP.S31052.clean.bam","1"
"MIP.S31061.clean.bam","0"
"MIP.S31067.clean.bam","1"
"MIP.S31071.clean.bam","0"
"MIP.S31078.clean.bam","0"
"MIP.S31087.clean.bam","0"
"MIP.S33245.clean.bam","1"
"MIP.S33251.clean.bam","1"
"MIP.S33255.clean.bam","1"
"MIP.S33264.clean.bam","1"
"MIP.S33278.clean.bam","0"
"MIP.S33279.clean.bam","1"
"MIP.S33282.clean.bam","0"
"MIP.S33292.clean.bam","0"
"MIP.S33293.clean.bam","0"
"MIP.S33305.clean.bam","0"
"MIP.S33311.clean.bam","1"
"MIP.S33321.clean.bam","1"
"MIP.S33330.clean.bam","0"
"MIP.S33332.clean.bam","1"
"MIP.S33333.clean.bam","1"
"MIP.S33337.clean.bam","0"
"MIP.S33341.clean.bam","1"
"MIP.S33343.clean.bam","0"
"MIP.S33347.clean.bam","0"
"MIP.S33415.clean.bam","0"
"MIP.S33423.clean.bam","1"
"MIP.S33447.clean.bam","0"
"MIP.S33450.clean.bam","1"
"MIP.S33457.clean.bam","0"
"MIP.S33459.clean.bam","1"
"MIP.S33460.clean.bam","1"
"MIP.S33485.clean.bam","1"
"MIP.S33501.clean.bam","1"
"MIP.S33503.clean.bam","0"
"MIP.S33504.clean.bam","1"
"MIP.S33517.clean.bam","0"
"MIP.S33519.clean.bam","1"
